time,ax,ay,az,gx,gy,gz,mx,my,mz
1298,1.39,-4.30,-12.56,-0.09,0.34,0.14,8.52,38.69,9.95
1309,0.45,-5.65,-11.44,1.77,-0.03,0.36,8.52,38.69,9.95
1320,0.45,-5.65,-11.44,1.77,-0.03,0.36,8.52,38.69,9.95
1331,-1.45,2.75,-8.13,2.48,-0.11,2.23,8.52,38.69,9.95
1342,-1.45,2.75,-8.13,2.48,-0.11,2.23,8.52,38.69,9.95
1353,-2.12,8.75,-11.78,-0.36,0.65,1.71,8.16,40.82,6.52
1364,-2.12,8.75,-11.78,-0.36,0.65,1.71,8.16,40.82,6.52
1375,-0.96,0.65,-12.84,0.30,0.86,-0.29,8.16,40.82,6.52
1386,-0.96,0.65,-12.84,0.30,0.86,-0.29,8.16,40.82,6.52
1397,0.62,-0.44,-10.73,2.50,1.45,-0.60,8.16,40.82,6.52
1408,2.49,-2.65,-10.95,2.69,2.30,-0.43,8.16,40.82,6.52
1419,2.49,-2.65,-10.95,2.69,2.30,-0.43,8.16,40.82,6.52
1430,2.44,-2.35,-10.08,2.42,2.40,0.06,8.16,40.82,6.52
1441,2.44,-2.35,-10.08,2.42,2.40,0.06,8.16,40.82,6.52
1452,1.72,-0.12,-9.61,1.96,2.07,0.46,8.16,40.82,6.52
1463,1.72,-0.12,-9.61,1.96,2.07,0.46,8.16,40.82,6.52
1474,2.14,-1.83,-9.83,1.32,2.24,0.38,-6.92,51.29,-3.60
1485,2.14,-1.83,-9.83,1.32,2.24,0.38,-6.92,51.29,-3.60
1496,4.18,-0.75,-11.48,0.97,2.86,0.79,-6.92,51.29,-3.60
1507,4.18,-0.75,-11.48,0.97,2.86,0.79,-6.92,51.29,-3.60
1518,4.13,-2.77,-17.27,1.47,2.54,1.00,-6.92,51.29,-3.60
1529,3.12,-3.64,-13.73,4.05,1.12,1.47,-6.92,51.29,-3.60
1540,3.12,-3.64,-13.73,4.05,1.12,1.47,-6.92,51.29,-3.60
1551,3.05,-0.88,-8.12,3.53,-0.85,1.12,-6.92,51.29,-3.60
1562,3.05,-0.88,-8.12,3.53,-0.85,1.12,-6.92,51.29,-3.60
1573,5.03,-7.66,-1.85,-0.42,-1.81,-0.84,-6.92,51.29,-3.60
1584,5.03,-7.66,-1.85,-0.42,-1.81,-0.84,-6.92,51.29,-3.60
1595,4.95,-10.53,1.56,-3.98,-0.89,-1.67,-10.47,58.39,-10.47
1606,4.95,-10.53,1.56,-3.98,-0.89,-1.67,-10.47,58.39,-10.47
1617,5.96,-7.54,2.48,-11.01,0.07,-1.41,-10.47,58.39,-10.47
1628,6.07,2.22,-11.63,-13.62,2.17,-0.18,-10.47,58.39,-10.47
1639,6.07,2.22,-11.63,-13.62,2.17,-0.18,-10.47,58.39,-10.47
1650,6.10,8.28,-25.02,-6.15,3.02,1.47,-10.47,58.39,-10.47
1661,6.10,8.28,-25.02,-6.15,3.02,1.47,-10.47,58.39,-10.47
1672,4.14,8.45,-18.17,4.09,2.12,2.82,-10.47,58.39,-10.47
1683,4.14,8.45,-18.17,4.09,2.12,2.82,-10.47,58.39,-10.47
1694,5.37,4.80,-11.42,6.60,1.03,3.42,-10.47,58.39,-10.47
1705,5.37,4.80,-11.42,6.60,1.03,3.42,-10.47,58.39,-10.47
1716,8.46,-1.98,-7.33,8.42,2.44,4.32,-10.47,58.39,-10.47
1727,8.46,-1.98,-7.33,8.42,2.44,4.32,-10.47,58.39,-10.47
1738,9.93,-0.41,-13.54,7.77,4.58,5.59,-16.15,58.74,-14.24
1749,10.08,3.26,-17.83,4.77,4.47,5.15,-16.15,58.74,-14.24
1760,10.08,3.26,-17.83,4.77,4.47,5.15,-16.15,58.74,-14.24
1771,5.86,4.85,-23.51,1.73,1.18,2.95,-16.15,58.74,-14.24
1782,5.86,4.85,-23.51,1.73,1.18,2.95,-16.15,58.74,-14.24
1793,5.03,3.06,-15.66,0.40,-4.60,0.12,-16.15,58.74,-14.24
1804,5.03,3.06,-15.66,0.40,-4.60,0.12,-16.15,58.74,-14.24
1815,5.97,-0.32,-8.20,-2.21,-8.93,-2.97,-16.15,58.74,-14.24
1826,5.97,-0.32,-8.20,-2.21,-8.93,-2.97,-16.15,58.74,-14.24
1837,6.36,-3.78,2.04,-6.30,-10.50,-5.98,-16.15,58.74,-14.24
1848,8.75,-7.17,6.60,-12.78,-8.48,-9.03,-7.81,57.14,-5.15
1859,8.75,-7.17,6.60,-12.78,-8.48,-9.03,-7.81,57.14,-5.15
1870,9.46,1.57,-10.90,-17.47,-3.24,-10.80,-7.81,57.14,-5.15
1881,9.46,1.57,-10.90,-17.47,-3.24,-10.80,-7.81,57.14,-5.15
1892,13.55,0.37,-20.56,-17.47,0.72,-11.89,-7.81,57.14,-5.15
1903,13.55,0.37,-20.56,-17.47,0.72,-11.89,-7.81,57.14,-5.15
