time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz
4.756,0.01,-2.94,9.44,0.09,0.22,0.02,13.43,8.64,-111.78,10.018757407982289,112.91493656731159,10.840870229387512,-0.29581450359796285,-1.9227942733867587,-0.4141403050371479,-2.0749844055944062,-1.7719200000000002,20.680660699300695,-2.616065213867672,-1.9729111974404623,21.776819680884156
4.807,-0.59,-0.88,9.41,0.12,0.13,0.03,13.43,8.64,-111.78,9.88722913661861,112.91493656731159,13.667175323221263,-0.029581450359796313,-1.2720023654712405,-0.3549774043175553,-2.0744681118881125,-1.9237103496503498,21.168041958041954,-2.72319535279427,-2.0643943118460566,22.84454917698861
4.86,-0.2,-0.59,9.62,0.01,-0.3,-0.02,13.6,7.78,-110.95,9.469456161786695,112.91493656731159,10.281360049642176,0.32539595395775905,-0.8874435107938887,-0.2662330532381665,-2.104929440559441,-1.969144195804196,21.65387433566433,-2.830298835801752,-2.1637142664717106,23.937441860738428
4.9110000000000005,-0.04,-0.55,9.67,-0.0,-0.11,-0.01,13.6,7.78,-110.95,9.640150413764298,112.05084069296402,17.236414205862623,0.3549774043175553,-1.774887021587777,-0.32539595395775905,-2.1152553146853155,-1.9996055244755246,22.150548881118876,-2.938975018037069,-2.2653799419795595,25.05541776437626
4.963,-0.06,-0.52,9.72,-0.0,0.08,0.0,12.57,8.81,-111.61,9.685711125157512,112.05084069296402,6.32852569483156,0.3549774043175553,-2.100282975545536,-0.3549774043175553,-2.1173204895104902,-2.0280016783216785,22.64980489510489,-3.048184318654703,-2.3686183167152435,26.199036662203536
5.015,-0.39,-0.75,9.54,0.04,0.18,0.01,12.57,8.81,-111.61,9.734084445904506,112.66061024155692,4.583662361046586,0.3549774043175553,-1.8636313726671656,-0.3549774043175553,-2.1204182517482524,-2.0548489510489514,23.151642377622373,-3.157500242948801,-2.473322767002299,27.36843183381584
5.066,-0.28,-1.54,9.5,0.02,-0.07,-0.0,12.57,8.81,-111.61,9.577379599869683,112.66061024155692,10.580344821195597,0.47330320575674045,-1.3311652661908324,-0.32539595395775905,-2.140553706293707,-2.0935709790209796,23.64418657342657,-3.2669761027575936,-2.5794133250833786,28.56373655880875
5.118,-0.14,0.27,9.49,-0.0,-0.65,-0.04,12.57,9.16,-111.95,9.628083921528727,112.66061024155692,4.171195710472268,0.532466106476333,-1.5382354187094065,-0.32539595395775905,-2.1550099300699306,-2.17308020979021,24.13466559440559,-3.3774915434119044,-2.687503077098147,29.78447103063818
5.1690000000000005,0.29,-1.22,9.73,-0.05,-0.35,-0.03,12.57,9.16,-111.95,9.494872300352439,113.02527593419093,37.31270792960464,0.532466106476333,-3.461029692096165,-0.4437217553969442,-2.1622380419580423,-2.15914027972028,24.624628321678316,-3.488753349801459,-2.7996978406567563,31.030528625627667
5.221,0.49,-0.2,9.58,0.04,-0.1,-0.0,10.68,8.29,-110.78,9.81047399466509,113.02527593419093,20.329911939466893,0.38455885467735157,-4.496380454689035,-0.5324661064763331,-2.1472655244755248,-2.222128111888112,25.126982097902093,-3.600388339058635,-2.9111728943992374,32.3018826878581
5.274,0.39,-1.4,9.6,-0.04,-0.19,-0.02,10.68,8.29,-110.78,9.594607860668408,111.60194845969312,6.17094430862378,0.5028846561165367,-4.792194958286998,-0.5324661064763331,-2.121967132867133,-2.2324539860139865,25.621591468531463,-3.711250306661452,-3.0258999702738523,33.59917295938824
5.325,0.71,-0.55,9.7,-0.03,-0.21,-0.03,11.19,9.16,-110.95,9.709382060666888,111.60194845969312,11.18368999639419,0.3845588546773515,-5.354242515123127,-0.5916290071959256,-2.1018316783216786,-2.3047351048951055,26.11723342657342,-3.8208061342275923,-3.1411601645307843,34.921999601431374
5.377,0.77,-1.3,9.64,-0.0,0.42,0.03,11.19,9.16,-110.95,9.741488592612527,111.88844533730907,12.27521125950747,0.2958145035979627,-5.975452972678849,-0.6803733582753144,-2.0651748251748256,-2.3331312587412594,26.618038321678316,-3.9293223809482143,-3.260152187463935,36.27041592582572
