time,ax,ay,az,gx,gy,gz,mx,my,mz
2035.00,-0.67,6.34,-7.87,-0.05,0.18,-0.02,-56.00,1.00,36.00
2047.00,-0.65,6.32,-7.90,-0.05,0.18,-0.02,-56.00,1.00,36.00
2245.00,-0.66,6.34,-7.88,-0.05,0.18,-0.02,-49.00,4.00,34.00
2256.00,-0.65,6.34,-7.88,-0.05,0.18,-0.02,-49.00,4.00,34.00
2268.00,-0.66,6.34,-7.87,-0.05,0.18,-0.02,-49.00,4.00,34.00
2279.00,-0.66,6.34,-7.87,-0.05,0.18,-0.02,-49.00,4.00,34.00
2292.00,-0.64,6.34,-7.88,-0.05,0.18,-0.02,-49.00,4.00,34.00
2304.00,-0.64,6.34,-7.88,-0.05,0.18,-0.02,-49.00,4.00,34.00
2317.00,-0.64,6.34,-7.89,-0.05,0.18,-0.02,-49.00,4.00,34.00
2328.00,-0.65,6.33,-7.89,-0.05,0.18,-0.02,-54.00,3.00,36.00
2340.00,-0.65,6.33,-7.89,-0.05,0.18,-0.02,-54.00,3.00,36.00
2353.00,-0.66,6.36,-7.88,-0.05,0.18,-0.02,-54.00,3.00,36.00
2365.00,-0.66,6.36,-7.88,-0.05,0.18,-0.02,-54.00,3.00,36.00
2376.00,-0.66,6.36,-7.90,-0.05,0.18,-0.02,-54.00,3.00,36.00
2388.00,-0.65,6.32,-7.88,-0.05,0.18,-0.02,-54.00,3.00,36.00
2401.00,-0.65,6.32,-7.88,-0.05,0.18,-0.02,-54.00,3.00,36.00
2413.00,-0.65,6.33,-7.87,-0.05,0.18,-0.02,-54.00,3.00,36.00
2424.00,-0.65,6.33,-7.87,-0.05,0.18,-0.02,-54.00,3.00,36.00
2436.00,-0.64,6.34,-7.89,-0.05,0.18,-0.02,-54.00,3.00,36.00
2449.00,-0.64,6.36,-7.88,-0.05,0.18,-0.02,-54.00,4.00,38.00
2461.00,-0.64,6.36,-7.88,-0.05,0.18,-0.02,-54.00,4.00,38.00
2472.00,-0.66,6.35,-7.89,-0.05,0.18,-0.02,-54.00,4.00,38.00
2484.00,-0.66,6.35,-7.89,-0.05,0.18,-0.02,-54.00,4.00,38.00
2497.00,-0.65,6.34,-7.90,-0.05,0.18,-0.02,-54.00,4.00,38.00
2508.00,-0.64,6.34,-7.89,-0.05,0.18,-0.02,-54.00,4.00,38.00
2520.00,-0.64,6.34,-7.89,-0.05,0.18,-0.02,-54.00,4.00,38.00
2531.00,-0.64,6.34,-7.90,-0.05,0.18,-0.02,-54.00,4.00,38.00
2536.00,-0.64,6.34,-7.90,-0.05,0.18,-0.02,-54.00,4.00,38.00
2614.00,-0.65,6.35,-7.88,-0.05,0.18,-0.02,-56.00,1.00,36.00
2694.00,-0.67,6.34,-7.89,-0.05,0.18,-0.02,-54.00,3.00,36.00
2772.00,-0.68,6.33,-7.91,-0.05,0.18,-0.02,-54.00,3.00,36.00
2853.00,-0.64,6.33,-7.91,-0.05,0.18,-0.02,-52.00,3.00,38.00
2943.00,-0.68,6.34,-7.89,-0.05,0.18,-0.02,-52.00,3.00,38.00
2953.00,-0.66,6.33,-7.94,-0.05,0.18,-0.02,-52.00,1.00,36.00
