time,ax,ay,az,gx,gy,gz,mx,my,mz,psi,theta,normAccel,normMag,normGyr,ax_pin,ay_pin,az_pin
29.217,-0.52,6.2,-7.95,0.04,0.19,-0.05,-45.0,7.0,23.0,-0.7766440847349276,3.369162546153291,10.093349295451931,51.01960407529639,9.131444644211467,-0.3202047030682057,6.209046508936387,-7.938246180547853
29.228,-0.52,6.2,-7.95,0.04,0.19,-0.05,-45.0,7.0,23.0,-0.5230187753499899,3.3581508048033584,10.095191924871957,51.01960407529639,11.487768071756678,-0.32024480072277717,6.209892439624128,-7.93828455255676
29.24,-0.58,6.14,-7.99,0.03,0.17,-0.03,-45.0,7.0,23.0,-0.26101465936633633,3.360769761412812,10.095191924871957,51.01960407529639,11.487768071756678,-0.3802926197070315,6.1508149089926665,-7.978275426383557
29.254,-0.58,6.14,-7.99,0.03,0.17,-0.03,-45.0,7.0,23.0,-0.002714619435129044,3.3473414499244716,10.093369110460591,51.01960407529639,10.039031574079274,-0.3803406643947801,6.151668320602476,-7.978322219741562
29.265,-0.68,6.1,-7.99,0.04,0.14,-0.04,-45.0,7.0,23.0,0.032836752668968835,3.359578031814081,10.093369110460591,51.01960407529639,10.039031574079274,-0.48035046588639735,6.111834843819053,-7.978279579152923
29.276,-0.69,6.08,-8.01,0.03,0.21,-0.05,-45.0,7.0,23.0,0.0707846617221025,3.3740353094478905,10.075341185289957,51.01960407529639,8.651472983270986,-0.49036137405315877,6.092017446902617,-7.998229200836317
29.288,-0.69,6.08,-8.01,0.03,0.21,-0.05,-45.0,3.0,25.0,0.19551077437999848,3.3839015887848665,10.079811506174108,51.01960407529639,12.487325639445693,-0.49039015479658443,6.092486380495104,-7.99819482089706
29.301,-0.63,6.01,-8.11,-0.01,0.34,-0.14,-45.0,3.0,25.0,0.331080872319334,3.3981609983200802,10.079811506174108,51.56549233741495,12.487325639445693,-0.43042348936953223,6.02300832058979,-8.09814513331865
29.311999999999998,-0.63,6.01,-8.11,-0.01,0.34,-0.14,-45.0,3.0,25.0,0.4671745287231638,3.4124232986899163,10.113807393855193,51.56549233741495,21.07519155681839,-0.43045831303714954,6.023532005173654,-8.098095436401481
29.324,-0.59,6.12,-8.05,-0.03,0.36,-0.16,-45.0,3.0,25.0,0.5926602270578374,3.4146453026243933,10.113807393855193,51.56549233741495,21.07519155681839,-0.3904889704372986,6.133976733625239,-8.038087693905775
29.336,-0.59,6.12,-8.05,-0.03,0.36,-0.16,-45.0,3.0,25.0,0.7187669464179494,3.416866915781327,10.129412618705985,51.56549233741495,22.63727172688513,-0.39052077524938456,6.134423553407308,-8.03807995278963
29.349,-0.53,6.17,-8.04,-0.02,0.34,-0.21,-45.0,3.0,25.0,0.8360943546765011,3.3987017404729727,10.129412618705985,51.56549233741495,22.63727172688513,-0.33054603694318874,6.184768771815292,-8.028143249091796
29.361,-0.54,6.09,-8.09,-0.01,0.35,-0.25,-45.0,3.0,25.0,0.962786233731854,3.3759752676726578,10.14846786465819,51.56549233741495,22.925472658963447,-0.34057316379174823,6.105130664227558,-8.078222440849501
29.373,-0.54,6.09,-8.09,-0.01,0.35,-0.25,-45.0,3.0,25.0,1.090151714219451,3.353248365821188,10.140404331189163,51.56549233741495,24.65050618926869,-0.34060112929943653,6.105494849574616,-8.078301635955308
29.383000000000003,-0.64,6.03,-8.1,-0.05,0.28,-0.16,-45.0,3.0,25.0,1.319667637106069,3.3484821080303253,10.140404331189163,51.56549233741495,24.65050618926869,-0.4406634436452664,6.046276894686522,-8.088318244888997
29.388,-0.64,6.03,-8.1,-0.05,0.28,-0.16,-45.0,3.0,25.0,1.5048756882439909,3.352941279369148,10.118324960189804,51.56549233741495,18.698098199449344,-0.44071841742056783,6.046936671592641,-8.08830270605414
29.467,-0.52,6.18,-8.04,-0.05,0.12,0.01,-43.0,6.0,22.0,1.6131469513906949,3.329666643497632,10.118324960189804,51.56549233741495,18.698098199449344,-0.320743761750555,6.197232281296462,-8.028383811749608
29.546999999999997,-0.7,6.12,-8.01,-0.05,0.23,0.02,-45.0,4.0,20.0,1.8859593724976949,3.3524020057705286,10.154033681251995,48.67237409455183,7.470455672192937,-0.5008353012077605,6.138259867332392,-7.998304585252307
29.625999999999998,-0.59,6.14,-7.99,0.05,0.14,-0.05,-45.0,4.0,20.0,2.1554549315391824,3.3502934959529824,10.104677134871752,49.4064773081425,13.534422571009646,-0.3909226845499605,6.159189123825893,-7.978311932753013
29.717,-0.42,6.09,-8.02,-0.23,0.28,-0.17,-43.0,7.0,11.0,2.5206286890367005,3.316694926111694,10.093948682255128,49.4064773081425,8.986491874490786,-0.22103706646894997,6.110340872172032,-8.00842901544461
29.73,-0.88,5.65,-8.08,-0.19,0.13,0.08,-43.0,7.0,11.0,2.8162537884144645,3.3838462074172635,10.078933475323666,44.93328387732194,22.932631276673888,-0.6811698449031552,5.671600218150859,-8.06819501387745
29.741,-0.48,6.15,-8.09,-0.21,-0.02,0.46,-43.0,7.0,11.0,3.0795394040919617,3.356265789855641,9.898651423300043,44.93328387732194,13.964193395635052,-0.28126038677602216,6.17241798687625,-8.078291121207998
29.753,-0.48,6.15,-8.09,-0.21,-0.02,0.46,-43.0,7.0,11.0,3.387240320331036,3.3479578605158338,10.173544121887907,44.93328387732194,28.995287655721015,-0.28138024230327774,6.173456168751426,-8.078320071734316
29.959,-0.43,5.99,-8.11,-0.13,0.28,-0.12,-38.0,1.0,-2.0,4.18061776549205,3.3293902471311436,10.173544121887907,44.93328387732194,28.995287655721015,-0.23171559062452918,6.016139873730007,-8.09838477492636
29.971,-0.43,5.99,-8.11,-0.13,0.28,-0.12,-38.0,1.0,-2.0,4.970433405960992,3.295336020678647,10.09143696407999,38.06573262134856,18.976929588220752,-0.23207762878205485,6.018752999347302,-8.09850344800947
29.982,-0.57,6.18,-8.01,-0.15,0.28,-0.17,-38.0,1.0,-2.0,5.766254386367821,3.306190036877666,10.09143696407999,38.06573262134856,18.976929588220752,-0.37250204872203746,6.21153663331758,-7.998465623199324
29.994,-0.57,6.18,-8.01,-0.15,0.28,-0.17,-38.0,1.0,-2.0,6.5805954912993245,3.317040592693516,10.132985739652458,38.06573262134856,20.642389983515102,-0.3729767162425276,6.214377691275339,-7.998427810861887
30.006999999999998,-0.45,6.13,-8.07,-0.12,0.2,-0.1,-38.0,1.0,-2.0,7.411847124035676,3.2868589786341427,10.132985739652458,38.06573262134856,20.642389983515102,-0.25347660216814627,6.167128885044167,-8.058532989666245
30.019,-0.61,5.75,-8.36,-0.07,-0.04,0.07,-38.0,1.0,-2.0,8.288595073010153,3.292856255229651,10.144175668825929,38.06573262134856,14.540038821844881,-0.41407194113874934,5.790152157487018,-8.348512089721861
30.03,-0.61,5.75,-8.36,-0.07,-0.04,0.07,-38.0,1.0,-2.0,9.179994895193008,3.2759026223219787,10.164851204026547,38.06573262134856,6.1175152137231255,-0.41470753625832124,5.793137612424717,-8.348571171860872
